activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053607,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,4,2,2,1,2,55000.0,72.93,3.45,0.57,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,505000,1,1,3,5,1,NA,NA,<20%,1,9,2,,,,,3,,,,,1,2,3,,,,,6,,,,,1,2,2,3,1,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,8714,62.1499999999999986,95700,135,2157,2532,12
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,75000.0,69.36,3.6,0.7,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,605000,1,1,3,5,1,NA,257,<20%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,45-54,No,No,1,1,6,,,,,10,,,,8230,12.9900000000000002,95700,158,2488,3025,17
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183050600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,4,2,2,1,2,25000.0,45.47,3.95,1.0,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,505000,1,1,3,5,1,NA,102,30%-<36%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,3948,69.5300000000000011,95700,40,410,1228,57
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054106,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,31,1,2,2,1,325000.0,56.49,NA,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,2,1,2,565000,1,3,3,5,3,NA,NA,NA,9,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,4,5,3,4,8888,9999,NA,NA,1,1,6,,,,,1,,,,8174,80.4099999999999966,95700,68,1624,2249,15
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053413,NC,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,305000.0,70.12,4.0,1.17,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,705000,1,1,3,5,1,NA,167,30%-<36%,1,9,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,45-54,45-54,No,No,1,1,6,,,,,10,,,,5771,21.8299999999999983,95700,144,1562,1876,15
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054007,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,2,2,1,2,105000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,NA,1,1,3,5,1,NA,145,20%-<30%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,1,6,,,,,3,,,,3959,31.4699999999999989,95700,104,1239,1633,30
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,4,1,2,1,2,255000.0,49.02,3.85,1.03,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,515000,1,1,3,5,1,NA,153,42,1,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,2,5,1,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,8230,12.9900000000000002,95700,158,2488,3025,17
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053723,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,55000.0,58.37,4.05,1.24,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,255000,1,1,3,5,1,NA,52,30%-<36%,1,9,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,3388,22.0199999999999996,95700,107,1038,949,26
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054302,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,1,2,105000.0,32.26,3.75,0.91,2,NA,NA,NA,NA,NA,300,NA,1,2,2,2,2,315000,1,1,3,5,1,NA,68,20%-<30%,1,9,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,65-74,>74,Yes,Yes,1,1,6,,,,,10,,,,6620,51.7999999999999972,95700,75,1452,2479,29
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053516,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,1,2,1,2,55000.0,13.35,3.75,0.93,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,375000,1,1,3,5,1,NA,27,30%-<36%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,4034,54.9299999999999997,95700,107,614,863,34
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053206,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,2,2,1,2,155000.0,79.19,4.25,1.42,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,595000,1,1,3,5,1,NA,141,41,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,4306,35.490000000000002,95700,102,1153,1626,13
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053519,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,1,2,315000.0,79.97,3.4,0.56,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,395000,1,1,3,5,1,NA,107,37,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,4696,51.2100000000000009,95700,60,987,1312,34
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054017,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,45000.0,73.92,3.7,0.82,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,245000,1,1,3,5,1,NA,56,40,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,3052,40.7899999999999991,95700,75,437,743,19
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054012,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,2,2,1,2,155000.0,78.45,3.35,0.47,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,955000,1,1,3,5,1,NA,NA,20%-<30%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,3948,19.1000000000000014,95700,137,1123,1387,34
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053505,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,1,2,1,2,205000.0,51.95,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,385000,1,1,3,5,1,NA,NA,NA,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,>74,9999,Yes,NA,1,1,6,,,,,7,,,,3621,14,95700,134,1257,1390,33
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054207,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,2,0,2,1,4,2,2,1,2,255000.0,48.78,3.85,1.0,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,735000,1,1,3,5,1,NA,422,20%-<30%,1,9,2,,,,,2,,,,,1,1,2,,,,,2,,,,,1,1,1,2,1,1,45-54,35-44,No,No,1,1,6,,,,,10,,,,8766,33.5499999999999972,95700,166,2003,2396,11
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053505,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,1,2,1,2,205000.0,48.19,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,415000,1,1,3,5,1,NA,88,43,1,9,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,>74,>74,Yes,Yes,1,1,6,,,,,1,,,,3621,14,95700,134,1257,1390,33
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053111,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,2,2,1,2,45000.0,76.23,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,555000,1,1,3,5,1,NA,144,<20%,1,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,35-44,55-64,No,No,1,1,6,,,,,9,,,,6034,36.7100000000000009,95700,97,1722,1979,24
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053607,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,0,2,1,31,2,2,1,2,255000.0,76.96,4.15,1.32,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,385000,1,1,3,5,1,NA,179,20%-<30%,1,10,2,,,,,5,,,,,1,4,3,,,,,8,,,,,1,4,1,5,1,4,55-64,9999,Yes,NA,1,1,6,,,,,10,,,,8714,62.1499999999999986,95700,135,2157,2532,12
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054204,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,2,2,1,2,45000.0,43.47,4.1,1.27,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,385000,1,1,3,5,1,NA,166,20%-<30%,1,9,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,45-54,45-54,No,No,1,1,6,,,,,10,,,,4810,24.5100000000000016,95700,82,1172,1799,23
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183052707,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,1,1,2,1,2,145000.0,80.0,4.15,1.33,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,185000,1,1,3,5,1,NA,65,20%-<30%,1,10,2,,,,,5,,,,,1,4,3,,,,,8,,,,,1,4,2,5,1,4,>74,9999,Yes,NA,1,1,6,,,,,10,,,,6641,56.2899999999999991,95700,78,1707,2412,28
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053007,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,31,1,2,1,2,105000.0,15.81,3.6,0.79,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,665000,1,1,3,5,1,NA,49,30%-<36%,1,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,3088,9.65000000000000036,95700,144,1100,1200,26
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183052406,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,55000.0,64.78,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,325000,1,1,3,5,1,NA,30,>60%,1,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,65-74,9999,Yes,NA,1,1,6,,,,,1,,,,7022,52.240000000000002,95700,44,675,1386,31
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183052802,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,2,2,1,2,25000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,NA,1,1,3,5,1,NA,35,20%-<30%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,3,,,,6450,54.5700000000000003,95700,80,1564,2181,37
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054011,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,195000.0,79.98,3.0,0.17,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,915000,1,1,3,5,1,NA,249,30%-<36%,1,9,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,45-54,45-54,No,No,1,1,6,,,,,10,,,,2909,18.7699999999999996,95700,143,933,1116,36
